perm_acc,main_folder,sub_folder,processing_time
0.514666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute176_WINS_BINS_FC_BOLD_all,1769148613
0.453,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute177_WINS_BINS_FC_BOLD_all,1769148614
0.507166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute178_WINS_BINS_FC_BOLD_all,1769148614
0.528833333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute179_WINS_BINS_FC_BOLD_all,1769148614
0.511,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute17_WINS_BINS_FC_BOLD_all,1769148613
0.516666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute180_WINS_BINS_FC_BOLD_all,1769148621
0.4805,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute181_WINS_BINS_FC_BOLD_all,1769148621
0.458666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute182_WINS_BINS_FC_BOLD_all,1769148621
0.525666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute183_WINS_BINS_FC_BOLD_all,1769148621
0.546666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute184_WINS_BINS_FC_BOLD_all,1769148622
0.470666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute185_WINS_BINS_FC_BOLD_all,1769148622
0.498666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute186_WINS_BINS_FC_BOLD_all,1769148622
0.486166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute187_WINS_BINS_FC_BOLD_all,1769148622
0.597333333,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute188_WINS_BINS_FC_BOLD_all,1769148622
0.597666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute189_WINS_BINS_FC_BOLD_all,1769148622
0.544666667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute18_WINS_BINS_FC_BOLD_all,1769148614
0.527166667,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute190_WINS_BINS_FC_BOLD_all,1769148622
0.404,Method2_3_permute_WINS_BINS_FC_BOLD_pseudo_ALwinlose_behav_3trial_all,permute191_WINS_BINS_FC_BOLD_all,1769148622
